DATE,Deposits_Billions
07/08/1991,2446.1485
14/08/1991,2445.4085
21/08/1991,2454.5177
28/08/1991,2451.8292
04/09/1991,2462.7426
11/09/1991,2434.9919
18/09/1991,2452.2387
25/09/1991,2462.4144
02/10/1991,2464.6559
09/10/1991,2437.287
16/10/1991,2465.3697
23/10/1991,2457.9411
30/10/1991,2448.7741
06/11/1991,2454.1496
13/11/1991,2474.3993
20/11/1991,2460.037
27/11/1991,2484.2862
04/12/1991,2467.0951
11/12/1991,2473.755
18/12/1991,2453.3421
25/12/1991,2483.3635
01/01/1992,2451.95
08/01/1992,2466.99
15/01/1992,2482.3672
22/01/1992,2485.0538
29/01/1992,2479.4049
05/02/1992,2492.788
12/02/1992,2484.6748
19/02/1992,2484.7736
26/02/1992,2476.6756
04/03/1992,2495.4748
11/03/1992,2496.4211
18/03/1992,2485.1194
25/03/1992,2503.1439
01/04/1992,2516.2217
08/04/1992,2483.5202
15/04/1992,2522.0302
22/04/1992,2485.5044
29/04/1992,2468.3258
06/05/1992,2481.8967
13/05/1992,2482.246
20/05/1992,2487.6908
27/05/1992,2487.8517
03/06/1992,2469.6307
10/06/1992,2487.3302
17/06/1992,2471.2965
24/06/1992,2492.7165
01/07/1992,2497.9019
08/07/1992,2466.0356
15/07/1992,2499.5983
22/07/1992,2485.7993
29/07/1992,2467.009
05/08/1992,2485.9533
12/08/1992,2486.5503
19/08/1992,2478.2877
26/08/1992,2489.9021
02/09/1992,2477.7141
09/09/1992,2488.6891
16/09/1992,2500.1582
23/09/1992,2484.8358
30/09/1992,2491.3142
07/10/1992,2485.351
14/10/1992,2507.0249
21/10/1992,2497.4818
28/10/1992,2497.677
04/11/1992,2504.3778
11/11/1992,2508.6853
18/11/1992,2477.2904
25/11/1992,2513.1427
02/12/1992,2496.3762
09/12/1992,2499.2586
16/12/1992,2497.3478
23/12/1992,2512.6105
30/12/1992,2481.7753
06/01/1993,2490.7723
13/01/1993,2491.0252
20/01/1993,2489.7778
27/01/1993,2489.0059
03/02/1993,2491.3231
10/02/1993,2496.1246
17/02/1993,2498.905
24/02/1993,2479.8694
03/03/1993,2497.9191
10/03/1993,2489.0895
17/03/1993,2488.9778
24/03/1993,2503.8962
31/03/1993,2496.4787
07/04/1993,2499.4336
14/04/1993,2497.4675
21/04/1993,2484.8698
28/04/1993,2507.1018
05/05/1993,2520.3924
12/05/1993,2526.1216
19/05/1993,2509.8551
26/05/1993,2523.1683
02/06/1993,2528.831
09/06/1993,2533.3956
16/06/1993,2524.9646
23/06/1993,2529.0452
30/06/1993,2510.8301
07/07/1993,2535.7517
14/07/1993,2526.7348
21/07/1993,2512.9565
28/07/1993,2509.8901
04/08/1993,2518.8024
11/08/1993,2521.1054
18/08/1993,2503.5707
25/08/1993,2523.5349
01/09/1993,2534.0356
08/09/1993,2512.4583
15/09/1993,2563.664
22/09/1993,2509.2806
29/09/1993,2512.3665
06/10/1993,2514.7997
13/10/1993,2520.2846
20/10/1993,2513.1961
27/10/1993,2522.1213
03/11/1993,2523.8392
10/11/1993,2520.0411
17/11/1993,2510.2214
24/11/1993,2530.6006
01/12/1993,2549.9959
08/12/1993,2534.9599
15/12/1993,2564.0796
22/12/1993,2531.0345
29/12/1993,2504.2717
05/01/1994,2522.0727
12/01/1994,2535.9776
19/01/1994,2535.5561
26/01/1994,2542.4354
02/02/1994,2529.8682
09/02/1994,2531.5854
16/02/1994,2523.6382
23/02/1994,2524.3513
02/03/1994,2531.6935
09/03/1994,2512.7153
16/03/1994,2524.8857
